name,year,company_id,company_name,company_url,company_country,company_startyear
Alvin and the Chipmunks: Chipwrecked,2011,445,505 Games,https://www.igdb.com/companies/505-games,United States,2006
Alvin and the Chipmunks: Chipwrecked,2011,1260,Behaviour Interactive,https://www.igdb.com/companies/behaviour-interactive,Canada,1997
Alvin and the Chipmunks: The Squeakquel,2009,700,Majesco Entertainment,https://www.igdb.com/companies/majesco-entertainment,United States,1986
Alvin and the Chipmunks: The Squeakquel,2009,1865,ImaginEngine,https://www.igdb.com/companies/imaginengine,United States,1994
Amazing Island,2004,112,Sega,https://www.igdb.com/companies/sega,Japan,2020
Amazing Island,2004,1906,Hitmaker,https://www.igdb.com/companies/hitmaker,Japan,2000
Amazing Island,2004,1568,Ancient,https://www.igdb.com/companies/ancient,Japan,1990
America's Army: Rise of a Soldier,2005,465,U.S. Army,https://www.igdb.com/companies/u-s-army,,
America's Army: Rise of a Soldier,2005,2207,Secret Level,https://www.igdb.com/companies/secret-level,,
Amplitude,2003,843,Harmonix Music Systems,https://www.igdb.com/companies/harmonix-music-systems,United States,1995
Angry Birds Trilogy,2012,950,Rovio Entertainment,https://www.igdb.com/companies/rovio-entertainment,Finland,2003
Angry Birds Trilogy,2012,1006,Housemarque,https://www.igdb.com/companies/housemarque,Finland,1995
Angry Birds Trilogy,2012,348,Exient Entertainment,https://www.igdb.com/companies/exient-entertainment,United Kingdom,
Angry Birds Trilogy,2012,1926,FUN Labs,https://www.igdb.com/companies/fun-labs,Romania,1999
Angry Birds Trilogy,2012,66,Activision,https://www.igdb.com/companies/activision,United States,1979
Animal Crossing,2001,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Animal Crossing,2001,421,Nintendo EAD,https://www.igdb.com/companies/nintendo-ead,Japan,1989
Animal Crossing: Amiibo Festival,2015,1100,NDCube,https://www.igdb.com/companies/ndcube,Japan,
Animal Crossing: Amiibo Festival,2015,7902,Nintendo EPD,https://www.igdb.com/companies/nintendo-epd,Japan,2015
Animal Crossing: Amiibo Festival,2015,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Animal Crossing: City Folk,2008,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Animal Crossing: City Folk,2008,1246,Nintendo EAD Software Development Group No.2,https://www.igdb.com/companies/nintendo-ead-software-development-group-no-dot-2,Japan,2003
Animal Crossing: Happy Home Designer,2015,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Animal Crossing: Happy Home Designer,2015,1246,Nintendo EAD Software Development Group No.2,https://www.igdb.com/companies/nintendo-ead-software-development-group-no-dot-2,Japan,2003
Animal Crossing: New Leaf,2012,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Animal Crossing: New Leaf,2012,1246,Nintendo EAD Software Development Group No.2,https://www.igdb.com/companies/nintendo-ead-software-development-group-no-dot-2,Japan,2003
Animal Crossing: Wild World,2005,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
