name,url,year,rating,votes,plot
Animal Crossing: Wild World,https://www.imdb.com/title/tt6259610/?ref_=adv_li_tt,2005,7.7,227,"An open-ended game in which the player, assuming the role of a human, moves to a village populated by anthropomorphic animals, where they can complete numerous tasks and personalize their town."
Animal Kingdom: Wildlife Expedition,https://www.imdb.com/title/tt1543202/?ref_=adv_li_tt,2009,0.0,0,A young photographer has been given the opportunity to visit the one of a kind Animal Island. A secret wildlife preserve that is home to many exotic animals. Every day on the island there ... See full summary »
Animaniacs: The Great Edgar Hunt,https://www.imdb.com/title/tt2914960/?ref_=adv_li_tt,2005,7.7,29,"An evil director steals all the Edgars before the WB awards ceremony. Unfortunately, his assistant crashes their blimp into the water tower, freeing the Warner siblings. It's up to them to find all the Edgars before the ceremony goes on."
Animorphs: Shattered Reality,https://www.imdb.com/title/tt0270831/?ref_=adv_li_tt,2000,6.8,21,Add a Plot
Ape Escape,https://www.imdb.com/title/tt0281601/?ref_=adv_li_tt,1999,7.9,215,Teen-age hero Spike must journey through time and capture superintelligent monkeys in an attempt to foil their plans for world domination.
Ape Escape 2,https://www.imdb.com/title/tt0374503/?ref_=adv_li_tt,2002,7.3,127,"The evil monkey Specter has escaped and this time, he has kidnapped The Professor and plans to wreak havoc on Earth with his monkeys. A teen aged-boy and the cousin of Spike, Jimmy (Hikaru ... See full summary »"
Ape Escape 3,https://www.imdb.com/title/tt0809943/?ref_=adv_li_tt,2005,7.9,103,Add a Plot
Ape Escape Academy,https://www.imdb.com/title/tt1039981/?ref_=adv_li_tt,2004,0.0,0,"Specter, fed up with the constant failure of taking over the world, has decided to form the Ape Escape Academy. Serving as the principal, Specter hopes to train the monkeys to follow his will and whip these mischievous monkeys into shape."
Ape Escape: On the Loose,https://www.imdb.com/title/tt1024665/?ref_=adv_li_tt,2005,7.1,20,"The story begins when Specter, a white-haired monkey at a monkey park, puts on an experimental Pipo Helmet created by a Professor, which increases his intelligence beyond that of a regular ... See full summary »"
Ape Escape: Pumped & Primed,https://www.imdb.com/title/tt0839832/?ref_=adv_li_tt,2004,6.7,15,"A Virtual world tournament is held and Spike and the gang are invited. However, the monkeys from his past have also decided to join the tournament too only as rivals. Who will win the tournament?"
